participant	subject_type	task	run	roi	hemisphere	condition	y	type_of_y
sub-00	pilot	gc	run-001	GFP	LH	Gaze	-1.2121149110665455	beta_z-score
sub-00	pilot	gc	run-001	GFP	RH	Gaze	3.8603937430196407	beta_z-score
sub-00	pilot	gc	run-001	fMotionArea	LH	Gaze	1.2663038825293158	beta_z-score
sub-00	pilot	gc	run-001	fMotionArea	RH	Gaze	2.653281344401703	beta_z-score
sub-00	pilot	gc	run-001	Marquardt2017GFP	LH	Gaze	0.3027828933661353	beta_z-score
sub-00	pilot	gc	run-001	Marquardt2017GFP	RH	Gaze	1.449776678638187	beta_z-score
sub-00	pilot	gc	run-001	GFP	LH	Cubes	0.6733834989172494	beta_z-score
sub-00	pilot	gc	run-001	GFP	RH	Cubes	3.7921167033394854	beta_z-score
sub-00	pilot	gc	run-001	fMotionArea	LH	Cubes	2.0093182539632846	beta_z-score
sub-00	pilot	gc	run-001	fMotionArea	RH	Cubes	2.794279566578944	beta_z-score
sub-00	pilot	gc	run-001	Marquardt2017GFP	LH	Cubes	2.0001750185145113	beta_z-score
sub-00	pilot	gc	run-001	Marquardt2017GFP	RH	Cubes	1.8034390994369154	beta_z-score
sub-00	pilot	gc	run-002	GFP	LH	Gaze	0.13137179194179158	beta_z-score
sub-00	pilot	gc	run-002	GFP	RH	Gaze	3.2118717533175594	beta_z-score
sub-00	pilot	gc	run-002	fMotionArea	LH	Gaze	1.1268544296250464	beta_z-score
sub-00	pilot	gc	run-002	fMotionArea	RH	Gaze	2.1958022809460886	beta_z-score
sub-00	pilot	gc	run-002	Marquardt2017GFP	LH	Gaze	0.7918528699334966	beta_z-score
sub-00	pilot	gc	run-002	Marquardt2017GFP	RH	Gaze	0.8753643350026696	beta_z-score
sub-00	pilot	gc	run-002	GFP	LH	Cubes	1.9736725986649855	beta_z-score
sub-00	pilot	gc	run-002	GFP	RH	Cubes	3.392252022493103	beta_z-score
sub-00	pilot	gc	run-002	fMotionArea	LH	Cubes	2.3414682510816642	beta_z-score
sub-00	pilot	gc	run-002	fMotionArea	RH	Cubes	2.7380921648652286	beta_z-score
sub-00	pilot	gc	run-002	Marquardt2017GFP	LH	Cubes	2.570387501496638	beta_z-score
sub-00	pilot	gc	run-002	Marquardt2017GFP	RH	Cubes	1.6186515933541636	beta_z-score
sub-00	pilot	gc	run-003	GFP	LH	Gaze	0.08950991529163928	beta_z-score
sub-00	pilot	gc	run-003	GFP	RH	Gaze	2.631757483678701	beta_z-score
sub-00	pilot	gc	run-003	fMotionArea	LH	Gaze	1.3156608013260966	beta_z-score
sub-00	pilot	gc	run-003	fMotionArea	RH	Gaze	1.7167705444373436	beta_z-score
sub-00	pilot	gc	run-003	Marquardt2017GFP	LH	Gaze	0.6147129846283876	beta_z-score
sub-00	pilot	gc	run-003	Marquardt2017GFP	RH	Gaze	0.9885435678175968	beta_z-score
sub-00	pilot	gc	run-003	GFP	LH	Cubes	2.034663651955433	beta_z-score
sub-00	pilot	gc	run-003	GFP	RH	Cubes	2.9137913151389396	beta_z-score
sub-00	pilot	gc	run-003	fMotionArea	LH	Cubes	2.1717447382176114	beta_z-score
sub-00	pilot	gc	run-003	fMotionArea	RH	Cubes	2.2030523737780947	beta_z-score
sub-00	pilot	gc	run-003	Marquardt2017GFP	LH	Cubes	2.1911793644585784	beta_z-score
sub-00	pilot	gc	run-003	Marquardt2017GFP	RH	Cubes	1.6424870650360344	beta_z-score
sub-00	pilot	gc	run-004	GFP	LH	Gaze	-0.14235960241086326	beta_z-score
sub-00	pilot	gc	run-004	GFP	RH	Gaze	3.454374803005732	beta_z-score
sub-00	pilot	gc	run-004	fMotionArea	LH	Gaze	0.8235625976816838	beta_z-score
sub-00	pilot	gc	run-004	fMotionArea	RH	Gaze	2.2050201466367714	beta_z-score
sub-00	pilot	gc	run-004	Marquardt2017GFP	LH	Gaze	0.2565867494142977	beta_z-score
sub-00	pilot	gc	run-004	Marquardt2017GFP	RH	Gaze	0.16004196553003797	beta_z-score
sub-00	pilot	gc	run-004	GFP	LH	Cubes	0.9690699621242213	beta_z-score
sub-00	pilot	gc	run-004	GFP	RH	Cubes	3.6163229259795386	beta_z-score
sub-00	pilot	gc	run-004	fMotionArea	LH	Cubes	1.4306419091768936	beta_z-score
sub-00	pilot	gc	run-004	fMotionArea	RH	Cubes	2.8056522658412666	beta_z-score
sub-00	pilot	gc	run-004	Marquardt2017GFP	LH	Cubes	1.220088729417802	beta_z-score
sub-00	pilot	gc	run-004	Marquardt2017GFP	RH	Cubes	0.5032469510257156	beta_z-score
sub-00	pilot	gc	run-005	GFP	LH	Gaze	0.7742741048320894	beta_z-score
sub-00	pilot	gc	run-005	GFP	RH	Gaze	2.687933936114085	beta_z-score
sub-00	pilot	gc	run-005	fMotionArea	LH	Gaze	1.6748767353020382	beta_z-score
sub-00	pilot	gc	run-005	fMotionArea	RH	Gaze	2.164628048432308	beta_z-score
sub-00	pilot	gc	run-005	Marquardt2017GFP	LH	Gaze	0.6560116476590503	beta_z-score
sub-00	pilot	gc	run-005	Marquardt2017GFP	RH	Gaze	0.6423442002091466	beta_z-score
sub-00	pilot	gc	run-005	GFP	LH	Cubes	1.9796127812585629	beta_z-score
sub-00	pilot	gc	run-005	GFP	RH	Cubes	3.331090957241354	beta_z-score
sub-00	pilot	gc	run-005	fMotionArea	LH	Cubes	2.920434438356971	beta_z-score
sub-00	pilot	gc	run-005	fMotionArea	RH	Cubes	2.6816413817538165	beta_z-score
sub-00	pilot	gc	run-005	Marquardt2017GFP	LH	Cubes	2.361580247852688	beta_z-score
sub-00	pilot	gc	run-005	Marquardt2017GFP	RH	Cubes	0.5728690844289331	beta_z-score
sub-00	pilot	gc	run-006	GFP	LH	Gaze	-0.3290389640908838	beta_z-score
sub-00	pilot	gc	run-006	GFP	RH	Gaze	1.9590751097234664	beta_z-score
sub-00	pilot	gc	run-006	fMotionArea	LH	Gaze	0.7369041870657221	beta_z-score
sub-00	pilot	gc	run-006	fMotionArea	RH	Gaze	1.227503625954097	beta_z-score
sub-00	pilot	gc	run-006	Marquardt2017GFP	LH	Gaze	0.7474421863150881	beta_z-score
sub-00	pilot	gc	run-006	Marquardt2017GFP	RH	Gaze	0.5576344848663932	beta_z-score
sub-00	pilot	gc	run-006	GFP	LH	Cubes	0.8656970406775234	beta_z-score
sub-00	pilot	gc	run-006	GFP	RH	Cubes	2.737682826038719	beta_z-score
sub-00	pilot	gc	run-006	fMotionArea	LH	Cubes	2.103547647063876	beta_z-score
sub-00	pilot	gc	run-006	fMotionArea	RH	Cubes	1.7529472300576407	beta_z-score
sub-00	pilot	gc	run-006	Marquardt2017GFP	LH	Cubes	2.19404843981262	beta_z-score
sub-00	pilot	gc	run-006	Marquardt2017GFP	RH	Cubes	0.394971753958726	beta_z-score
sub-00	pilot	gic	run-007	GFP	LH	Gaze	-1.0717300510021845	beta_z-score
sub-00	pilot	gic	run-007	GFP	RH	Gaze	3.5307287617608782	beta_z-score
sub-00	pilot	gic	run-007	fMotionArea	LH	Gaze	-0.16406740278164442	beta_z-score
sub-00	pilot	gic	run-007	fMotionArea	RH	Gaze	2.450611839850677	beta_z-score
sub-00	pilot	gic	run-007	Marquardt2017GFP	LH	Gaze	-0.3117004523294793	beta_z-score
sub-00	pilot	gic	run-007	Marquardt2017GFP	RH	Gaze	0.5561016405001845	beta_z-score
sub-00	pilot	gic	run-007	GFP	LH	Cubes	1.121093510187632	beta_z-score
sub-00	pilot	gic	run-007	GFP	RH	Cubes	3.512562957655208	beta_z-score
sub-00	pilot	gic	run-007	fMotionArea	LH	Cubes	2.291704743556413	beta_z-score
sub-00	pilot	gic	run-007	fMotionArea	RH	Cubes	3.4134209568767444	beta_z-score
sub-00	pilot	gic	run-007	Marquardt2017GFP	LH	Cubes	2.4736340877257144	beta_z-score
sub-00	pilot	gic	run-007	Marquardt2017GFP	RH	Cubes	1.9885329346084486	beta_z-score
sub-00	pilot	gic	run-007	GFP	LH	Iris	-2.1053213909629944	beta_z-score
sub-00	pilot	gic	run-007	GFP	RH	Iris	1.6723237240259996	beta_z-score
sub-00	pilot	gic	run-007	fMotionArea	LH	Iris	0.3267381925039069	beta_z-score
sub-00	pilot	gic	run-007	fMotionArea	RH	Iris	1.151934706213874	beta_z-score
sub-00	pilot	gic	run-007	Marquardt2017GFP	LH	Iris	-0.3912970699440973	beta_z-score
sub-00	pilot	gic	run-007	Marquardt2017GFP	RH	Iris	-0.05868522974284393	beta_z-score
sub-00	pilot	gic	run-008	GFP	LH	Gaze	-0.5844167579457038	beta_z-score
sub-00	pilot	gic	run-008	GFP	RH	Gaze	3.7007392220858355	beta_z-score
sub-00	pilot	gic	run-008	fMotionArea	LH	Gaze	1.9208551407671317	beta_z-score
sub-00	pilot	gic	run-008	fMotionArea	RH	Gaze	3.125473043246478	beta_z-score
sub-00	pilot	gic	run-008	Marquardt2017GFP	LH	Gaze	0.9622231766504238	beta_z-score
sub-00	pilot	gic	run-008	Marquardt2017GFP	RH	Gaze	1.3745844409170451	beta_z-score
sub-00	pilot	gic	run-008	GFP	LH	Cubes	0.9090611077727727	beta_z-score
sub-00	pilot	gic	run-008	GFP	RH	Cubes	3.8248034117809895	beta_z-score
sub-00	pilot	gic	run-008	fMotionArea	LH	Cubes	3.4394332512061654	beta_z-score
sub-00	pilot	gic	run-008	fMotionArea	RH	Cubes	3.6487724508668777	beta_z-score
sub-00	pilot	gic	run-008	Marquardt2017GFP	LH	Cubes	2.8378271820871643	beta_z-score
sub-00	pilot	gic	run-008	Marquardt2017GFP	RH	Cubes	1.9591774959614945	beta_z-score
sub-00	pilot	gic	run-008	GFP	LH	Iris	-1.5384500133059111	beta_z-score
sub-00	pilot	gic	run-008	GFP	RH	Iris	2.803463591691452	beta_z-score
sub-00	pilot	gic	run-008	fMotionArea	LH	Iris	2.2394155933384154	beta_z-score
sub-00	pilot	gic	run-008	fMotionArea	RH	Iris	2.571163252402122	beta_z-score
