participant,roi_1,roi_2,session_1,session_2,task_1,task_2,c_1,c_2,type
,,,,,,,,,
sub_00,fMotionArea_left,fMotionArea_right,ses_com,ses_com,co,co,Cubes_1,Cubes_1,same_ROI_different_hemisphere
sub_00,fMotionArea_left,fMotionArea_right,ses_com,ses_com,co,co,Cubes_2,Cubes_2,same_ROI_different_hemisphere
sub_00,fMotionArea_left,fMotionArea_right,ses_com,ses_com,co,co,Cubes_3,Cubes_3,same_ROI_different_hemisphere
sub_00,fMotionArea_left,fMotionArea_right,ses_com,ses_com,co,co,Cubes_1,Cubes_3,same_ROI_different_hemisphere
sub_00,fMotionArea_left,fMotionArea_right,ses_com,ses_com,co,co,Cubes_3,Cubes_1,same_ROI_different_hemisphere
,,,,,,,,,
sub_00,fMotionArea_left,fMotionArea_left,ses_com,ses_com,co,co,Cubes_1,Cubes_3,same_ROI_same_hemisphere
,,,,,,,,,
sub_00,fMotionArea_right,fMotionArea_right,ses_com,ses_com,co,co,Cubes_1,Cubes_3,same_ROI_same_hemisphere
,,,,,,,,,
sub_00,Marquardt2017GFP_left,Marquardt2017GFP_right,ses_com,ses_com,co,co,Cubes_1,Cubes_1,same_ROI_different_hemisphere
sub_00,Marquardt2017GFP_left,Marquardt2017GFP_right,ses_com,ses_com,co,co,Cubes_2,Cubes_2,same_ROI_different_hemisphere
sub_00,Marquardt2017GFP_left,Marquardt2017GFP_right,ses_com,ses_com,co,co,Cubes_3,Cubes_3,same_ROI_different_hemisphere
sub_00,Marquardt2017GFP_left,Marquardt2017GFP_right,ses_com,ses_com,co,co,Cubes_1,Cubes_3,same_ROI_different_hemisphere
sub_00,Marquardt2017GFP_left,Marquardt2017GFP_right,ses_com,ses_com,co,co,Cubes_3,Cubes_1,same_ROI_different_hemisphere
,,,,,,,,,
sub_00,Marquardt2017GFP_left,Marquardt2017GFP_left,ses_com,ses_com,co,co,Cubes_1,Cubes_3,same_ROI_same_hemisphere
,,,,,,,,,
