participant,session,task,event_type,covariate,time,GFP_left,GFP_right,fMotionArea_left,fMotionArea_right,GazeCubes_left,GazeCubes_right,Marquardt2017GFP_left,Marquardt2017GFP_right
sub_00,ses_gc,gc,Cubes_1,intercept,0,0.0313240411026824,-0.16029669383229,-0.0785419058614224,-0.129623399305693,,,,
sub_00,ses_gc,gc,Cubes_1,intercept,0.075,0.0285535304516468,-0.154912230463258,-0.0734946763021628,-0.128353018818804,,,,
sub_00,ses_gc,gc,Cubes_1,intercept,0.15,0.0254277383409925,-0.14891249576173,-0.0673711954164277,-0.126089717945211,,,,
sub_00,ses_gc,gc,Cubes_1,intercept,0.225,0.0221685648252299,-0.142141392443104,-0.06002087836209,-0.12262889474665,,,,
sub_00,ses_gc,gc,Cubes_1,intercept,0.3,0.0190101690946868,-0.134441222164994,-0.0513015627815905,-0.117773084708561,,,,
sub_00,ses_gc,gc,Cubes_1,intercept,0.375,0.0161949245940742,-0.125655607191633,-0.0410824705932435,-0.11133564232804,,,,
sub_00,ses_gc,gc,Cubes_1,intercept,0.45,0.0139691689211263,-0.115632438671553,-0.0292470505666031,-0.103144287919293,,,,
sub_00,ses_gc,gc,Cubes_1,intercept,0.525,0.0125788232196579,-0.104226795598088,-0.0156956471033087,-0.0930444528894233,,,,
sub_00,ses_gc,gc,Cubes_1,intercept,0.6,0.0122649586102488,-0.0913037788808497,-0.000347943230789747,-0.0809023601895264,,,,
sub_00,ses_gc,gc,Cubes_1,intercept,0.675,0.0132593886063853,-0.0767412064037041,0.0168548705902149,-0.0666077813236375,,,,
sub_00,ses_gc,gc,Cubes_1,intercept,0.75,0.0157803664141712,-0.0604321174532588,0.0359482457051704,-0.0500764171130055,,,,
sub_00,ses_gc,gc,Cubes_1,intercept,0.825,0.0200284645070608,-0.0422870384228165,0.0569427810117948,-0.0312518562553458,,,,
sub_00,ses_gc,gc,Cubes_1,intercept,0.9,0.0261827109284552,-0.0222359661615949,0.0798231175060425,-0.0101070734577879,,,,
